canonical_id,exam,year,tier,paper,shift,date,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,original_url,final_url,http_status,content_type,downloaded_at,file_size,sha256,notes,classification_status,classification_reason,relative_path,notes
ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper,ssc_cgl,2019,tier1,paper1,1,04-06-2019,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,200,application/pdf,2026-05-18T13:42:55.018632+00:00,4579744,e2f8573530da535122274df0131a695baefc79eef122529f0e728aeb842ef7d6,Public direct shift-wise Tier 1 PDF with inline answers.,,,raw_sources\primary\2019\tier1\question_paper\ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper.pdf,"questions are not properly rendered , like for example question 10 has no texts , and also these question papers, the paper seems to be an attempted paper by a candidate ."
ssc_cgl_2019_tier1_paper1_1_2019-06-04_solution_booklet,ssc_cgl,2019,tier1,paper1,1,04-06-2019,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,200,application/pdf,2026-05-18T13:43:12.655551+00:00,4579744,e2f8573530da535122274df0131a695baefc79eef122529f0e728aeb842ef7d6,Same solved PDF as question row; inline answers satisfy pairing.,,,raw_sources\primary\2019\tier1\solution_booklet\ssc_cgl_2019_tier1_paper1_1_2019-06-04_solution_booklet.pdf,ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper.pdf and ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper.pdf are the same pdfs
ssc_cgl_2019_tier2_paper1_na_2019-09-11_question_paper,ssc_cgl,2019,tier2_paper1,paper1,na,11-09-2019,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,200,application/pdf,2026-05-18T13:43:29.390590+00:00,1477426,d02ed68ed3b676dafc0ff10f7a2248141fbfeb9c87217e26e4b064e4596ce1b9,Public Tier 2 English variant PDF for 2019 cycle; gap-fill source.,,,raw_sources\primary\2019\tier2_paper1\question_paper\ssc_cgl_2019_tier2_paper1_na_2019-09-11_question_paper.pdf,questions are rendered properly but it seems like an attempted paper by a student.
ssc_cgl_2019_tier2_paper1_na_2019-09-11_solution_booklet,ssc_cgl,2019,tier2_paper1,paper1,na,11-09-2019,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,200,application/pdf,2026-05-18T13:43:38.757559+00:00,1477426,d02ed68ed3b676dafc0ff10f7a2248141fbfeb9c87217e26e4b064e4596ce1b9,Same public solved PDF as question row; inline answers satisfy pairing.,,,raw_sources\primary\2019\tier2_paper1\solution_booklet\ssc_cgl_2019_tier2_paper1_na_2019-09-11_solution_booklet.pdf,"answer key it’s the option which is in green color  , could cause confusion by the model or llm "
ssc_cgl_2020_tier1_paper1_1_2020-03-03_question_paper,ssc_cgl,2020,tier1,paper1,1,03-03-2020,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,200,application/pdf,2026-05-18T13:45:31.395749+00:00,2655394,a27982fd934830842204c45ee47291f448b99bc881e731bfac99f485602dd3d8,Public direct shift-wise Tier 1 PDF with inline answers.,,,raw_sources\primary\2020\tier1\question_paper\ssc_cgl_2020_tier1_paper1_1_2020-03-03_question_paper.pdf,
ssc_cgl_2020_tier1_paper1_1_2020-03-03_solution_booklet,ssc_cgl,2020,tier1,paper1,1,03-03-2020,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,200,application/pdf,2026-05-18T13:47:04.844633+00:00,2655394,a27982fd934830842204c45ee47291f448b99bc881e731bfac99f485602dd3d8,Same solved PDF as question row; inline answers satisfy pairing.,,,raw_sources\primary\2020\tier1\solution_booklet\ssc_cgl_2020_tier1_paper1_1_2020-03-03_solution_booklet.pdf,
ssc_cgl_2020_tier2_paper1_na_2020-11-15_question_paper,ssc_cgl,2020,tier2_paper1,paper1,na,15-11-2020,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,200,application/pdf,2026-05-18T13:47:19.981063+00:00,2175313,e1c1e9cabec9197290e6950b501dd15af26b4276b924f08097eb1597aa61fd39,Public Tier 2 English variant PDF for 2020 cycle; gap-fill source.,,,raw_sources\primary\2020\tier2_paper1\question_paper\ssc_cgl_2020_tier2_paper1_na_2020-11-15_question_paper.pdf,
ssc_cgl_2020_tier2_paper1_na_2020-11-15_solution_booklet,ssc_cgl,2020,tier2_paper1,paper1,na,15-11-2020,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,200,application/pdf,2026-05-18T13:47:49.590064+00:00,2175313,e1c1e9cabec9197290e6950b501dd15af26b4276b924f08097eb1597aa61fd39,Same public solved PDF as question row; inline answers satisfy pairing.,,,raw_sources\primary\2020\tier2_paper1\solution_booklet\ssc_cgl_2020_tier2_paper1_na_2020-11-15_solution_booklet.pdf,
ssc_cgl_2021_tier1_paper1_1_2021-08-13_question_paper,ssc_cgl,2021,tier1,paper1,1,13-08-2021,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,200,application/pdf,2026-05-18T13:48:06.210330+00:00,728517,a912c494092d8dc36a497a27f188c6cd2f2da4d6d826ddb1b94e9b0abd67fe3d,Public direct shift-wise Tier 1 PDF with inline answers.,,,raw_sources\primary\2021\tier1\question_paper\ssc_cgl_2021_tier1_paper1_1_2021-08-13_question_paper.pdf,
ssc_cgl_2021_tier1_paper1_1_2021-08-13_solution_booklet,ssc_cgl,2021,tier1,paper1,1,13-08-2021,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,200,application/pdf,2026-05-18T13:48:14.190968+00:00,728517,a912c494092d8dc36a497a27f188c6cd2f2da4d6d826ddb1b94e9b0abd67fe3d,Same solved PDF as question row; inline answers satisfy pairing.,,,raw_sources\primary\2021\tier1\solution_booklet\ssc_cgl_2021_tier1_paper1_1_2021-08-13_solution_booklet.pdf,
