canonical_id,exam,year,tier,paper,shift,date,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,original_url,final_url,http_status,content_type,downloaded_at,file_size,sha256,notes,classification_status,classification_reason,relative_path,integrity_notes
ssc_cgl_2019_tier1_paper1_na_na_question_paper,ssc_cgl,2019,tier1,paper1,na,na,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,200,application/pdf,2026-05-18T13:31:48.985488+00:00,1398950,daecced9f54b959190883ea4ed1926bcc327e5e26288d655d614b891ec8554dd,Public multi-year Tier 1 PDF kit. Use for 2019 Tier 1 coverage until a year-specific public PDF is found.,duplicate,missing_pairing,raw_sources\primary\2019\tier1\question_paper\ssc_cgl_2019_tier1_paper1_na_na_question_paper.pdf,
ssc_cgl_2019_tier2_paper1_na_na_solution_booklet,ssc_cgl,2019,tier2_paper1,paper1,na,2019-09-11,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,200,application/pdf,2026-05-18T13:31:58.680138+00:00,1477426,d02ed68ed3b676dafc0ff10f7a2248141fbfeb9c87217e26e4b064e4596ce1b9,Public direct PDF. English paper variant for 2019 Tier 2.,accepted,,raw_sources\primary\2019\tier2_paper1\solution_booklet\ssc_cgl_2019_tier2_paper1_na_na_solution_booklet.pdf,
ssc_cgl_2020_tier1_paper1_na_na_question_paper,ssc_cgl,2020,tier1,paper1,na,na,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,200,application/pdf,2026-05-18T13:32:09.937232+00:00,1398950,daecced9f54b959190883ea4ed1926bcc327e5e26288d655d614b891ec8554dd,Public multi-year Tier 1 PDF kit. Use for 2020 Tier 1 coverage until a year-specific public PDF is found.,duplicate,missing_pairing,raw_sources\primary\2020\tier1\question_paper\ssc_cgl_2020_tier1_paper1_na_na_question_paper.pdf,
ssc_cgl_2020_tier2_paper1_na_na_solution_booklet,ssc_cgl,2020,tier2_paper1,paper1,na,2020-11-15,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,200,application/pdf,2026-05-18T13:32:20.089883+00:00,2175313,e1c1e9cabec9197290e6950b501dd15af26b4276b924f08097eb1597aa61fd39,Public direct PDF. Additional 16th and 18th November 2020 direct PDFs also exist.,accepted,,raw_sources\primary\2020\tier2_paper1\solution_booklet\ssc_cgl_2020_tier2_paper1_na_na_solution_booklet.pdf,
ssc_cgl_2021_tier1_paper1_na_na_question_paper,ssc_cgl,2021,tier1,paper1,na,na,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,200,application/pdf,2026-05-18T13:32:33.927189+00:00,1398950,daecced9f54b959190883ea4ed1926bcc327e5e26288d655d614b891ec8554dd,Public multi-year Tier 1 PDF kit. Use for 2021 Tier 1 coverage until a year-specific public PDF is found.,duplicate,missing_pairing,raw_sources\primary\2021\tier1\question_paper\ssc_cgl_2021_tier1_paper1_na_na_question_paper.pdf,
ssc_cgl_2021_tier2_paper1_na_na_solution_booklet,ssc_cgl,2021,tier2_paper1,paper1,na,2022-01-29,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-29th-January-2022.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-29th-January-2022.pdf,200,application/pdf,2026-05-18T13:32:44.541951+00:00,1793189,36f96af0c4e0782998f4374a8a52f3895d9083e1bee459438449d251dc68d175,Public direct PDF corresponding to the 2021 cycle Tier 2 English paper.,accepted,,raw_sources\primary\2021\tier2_paper1\solution_booklet\ssc_cgl_2021_tier2_paper1_na_na_solution_booklet.pdf,
ssc_cgl_2022_tier1_paper1_na_na_question_paper,ssc_cgl,2022,tier1,paper1,na,na,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,200,application/pdf,2026-05-18T13:32:56.694452+00:00,1398950,daecced9f54b959190883ea4ed1926bcc327e5e26288d655d614b891ec8554dd,Public multi-year Tier 1 PDF kit. Use for 2022 Tier 1 coverage until a year-specific public PDF is found.,duplicate,missing_pairing,raw_sources\primary\2022\tier1\question_paper\ssc_cgl_2022_tier1_paper1_na_na_question_paper.pdf,
ssc_cgl_2022_tier2_paper1_na_na_solution_booklet,ssc_cgl,2022,tier2_paper1,paper1,na,2022-08-08,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-8th-August-2022.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-8th-August-2022.pdf,200,application/pdf,2026-05-18T13:33:06.433024+00:00,3253537,d9c06b2e21d813e2bbc81b4d3164fde989282bdbe214a6772de56e5d42c44867,Public direct PDF corresponding to the 2022 cycle Tier 2 English paper.,accepted,,raw_sources\primary\2022\tier2_paper1\solution_booklet\ssc_cgl_2022_tier2_paper1_na_na_solution_booklet.pdf,
ssc_cgl_2023_tier1_paper1_na_na_question_paper,ssc_cgl,2023,tier1,paper1,na,na,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,200,application/pdf,2026-05-18T13:33:21.510449+00:00,1398950,daecced9f54b959190883ea4ed1926bcc327e5e26288d655d614b891ec8554dd,Public multi-year Tier 1 PDF kit. Use for 2023 Tier 1 coverage until a year-specific public PDF is found.,duplicate,missing_pairing,raw_sources\primary\2023\tier1\question_paper\ssc_cgl_2023_tier1_paper1_na_na_question_paper.pdf,
ssc_cgl_2023_tier2_paper1_na_na_question_paper,ssc_cgl,2023,tier2_paper1,paper1,na,2023-03-02,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,200,application/pdf,2026-05-18T13:33:31.368677+00:00,1596553,b2fca777c8867d500885e4249fead337a41f0072f2aee62c4ee25b4cf98f917e,Public direct PDF. Additional public 3rd,duplicate,duplicate_watermarked,raw_sources\primary\2023\tier2_paper1\question_paper\ssc_cgl_2023_tier2_paper1_na_na_question_paper.pdf,
