canonical_id,year,tier,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,url,paper,shift,date,notes
ssc_cgl_2019_tier1_paper1_na_na_question_paper,2019,tier1,question_paper,testbook,trusted_secondary,unofficial,na,unknown,manual,https://testbook.com/ssc-cgl-exam/previous-year-papers,paper1,na,na,Collection page covering SSC CGL Tier 1 previous papers; resolve 2019 year-specific PDF manually before running acquire.
ssc_cgl_2019_tier1_paper1_na_na_solution_booklet,2019,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://www.oliveboard.in/ssc-cgl-previous-year-papers/,paper1,na,na,Collection page with Tier 1 previous papers and explanations; use as Tier 1 solution/secondary verification source for 2019.
ssc_cgl_2019_tier2_paper1_na_na_question_paper,2019,tier2_paper1,question_paper,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Cracku Tier 2 collection page with year-specific previous papers; resolve 2019 paper PDF manually.
ssc_cgl_2019_tier2_paper1_na_na_solution_booklet,2019,tier2_paper1,solution_booklet,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Use Cracku Tier 2 previous-papers page as the primary 2019 Tier 2 solution source.
ssc_cgl_2020_tier1_paper1_na_na_question_paper,2020,tier1,question_paper,testbook,trusted_secondary,unofficial,na,unknown,manual,https://testbook.com/ssc-cgl-exam/previous-year-papers,paper1,na,na,Collection page covering SSC CGL Tier 1 previous papers; resolve 2020 year-specific PDF manually before running acquire.
ssc_cgl_2020_tier1_paper1_na_na_solution_booklet,2020,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://www.oliveboard.in/ssc-cgl-previous-year-papers/,paper1,na,na,Collection page with Tier 1 previous papers and explanations; use as Tier 1 solution/secondary verification source for 2020.
ssc_cgl_2020_tier2_paper1_na_na_question_paper,2020,tier2_paper1,question_paper,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Cracku Tier 2 collection page with year-specific previous papers; resolve 2020 paper PDF manually.
ssc_cgl_2020_tier2_paper1_na_na_solution_booklet,2020,tier2_paper1,solution_booklet,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Use Cracku Tier 2 previous-papers page as the primary 2020 Tier 2 solution source.
ssc_cgl_2021_tier1_paper1_na_na_question_paper,2021,tier1,question_paper,testbook,trusted_secondary,unofficial,na,unknown,manual,https://testbook.com/ssc-cgl-exam/previous-year-papers,paper1,na,na,Collection page covering SSC CGL Tier 1 previous papers; resolve 2021 year-specific PDF manually before running acquire.
ssc_cgl_2021_tier1_paper1_na_na_solution_booklet,2021,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://www.oliveboard.in/ssc-cgl-previous-year-papers/,paper1,na,na,Collection page with Tier 1 previous papers and explanations; use as Tier 1 solution/secondary verification source for 2021.
ssc_cgl_2021_tier2_paper1_na_na_question_paper,2021,tier2_paper1,question_paper,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Cracku Tier 2 collection page with year-specific previous papers; resolve 2021 paper PDF manually.
ssc_cgl_2021_tier2_paper1_na_na_solution_booklet,2021,tier2_paper1,solution_booklet,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Use Cracku Tier 2 previous-papers page as the primary 2021 Tier 2 solution source.
ssc_cgl_2022_tier1_paper1_na_na_question_paper,2022,tier1,question_paper,testbook,trusted_secondary,unofficial,na,unknown,manual,https://testbook.com/ssc-cgl-exam/previous-year-papers,paper1,na,na,Collection page covering SSC CGL Tier 1 previous papers; resolve 2022 year-specific PDF manually before running acquire.
ssc_cgl_2022_tier1_paper1_na_na_solution_booklet,2022,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://www.oliveboard.in/ssc-cgl-previous-year-papers/,paper1,na,na,Collection page with Tier 1 previous papers and explanations; use as Tier 1 solution/secondary verification source for 2022.
ssc_cgl_2022_tier2_paper1_na_na_question_paper,2022,tier2_paper1,question_paper,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Cracku Tier 2 collection page with year-specific previous papers; resolve 2022 paper PDF manually.
ssc_cgl_2022_tier2_paper1_na_na_solution_booklet,2022,tier2_paper1,solution_booklet,cracku,trusted_secondary,unofficial,na,unknown,manual,https://cracku.in/ssc-cgl-tier-2-previous-papers,paper1,na,na,Use Cracku Tier 2 previous-papers page as the primary 2022 Tier 2 solution source.
ssc_cgl_2023_tier1_paper1_na_na_question_paper,2023,tier1,question_paper,testbook,trusted_secondary,unofficial,na,unknown,manual,https://testbook.com/ssc-cgl-exam/previous-year-papers,paper1,na,na,Collection page covering SSC CGL Tier 1 previous papers; resolve 2023 year-specific PDF manually before running acquire.
ssc_cgl_2023_tier1_paper1_na_na_solution_booklet,2023,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://www.oliveboard.in/ssc-cgl-previous-year-papers/,paper1,na,na,Collection page with Tier 1 previous papers and explanations; use as Tier 1 solution/secondary verification source for 2023.
