canonical_id,year,tier,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,url,paper,shift,date,notes
ssc_cgl_2019_tier1_paper1_na_na_question_paper,2019,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2019 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_2019_tier2_paper1_na_na_solution_booklet,2019,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,paper1,na,2019-09-11,Public direct PDF. English paper variant for 2019 Tier 2.
ssc_cgl_2020_tier1_paper1_na_na_question_paper,2020,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2020 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_2020_tier2_paper1_na_na_solution_booklet,2020,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,paper1,na,2020-11-15,Public direct PDF. Additional 16th and 18th November 2020 direct PDFs also exist.
ssc_cgl_2021_tier1_paper1_na_na_question_paper,2021,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2021 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_2021_tier2_paper1_na_na_solution_booklet,2021,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-29th-January-2022.pdf,paper1,na,2022-01-29,Public direct PDF corresponding to the 2021 cycle Tier 2 English paper.
ssc_cgl_2022_tier1_paper1_na_na_question_paper,2022,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2022 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_2022_tier2_paper1_na_na_solution_booklet,2022,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-8th-August-2022.pdf,paper1,na,2022-08-08,Public direct PDF corresponding to the 2022 cycle Tier 2 English paper.
ssc_cgl_2023_tier1_paper1_na_na_question_paper,2023,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2023 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_2023_tier2_paper1_na_na_question_paper,2023,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,paper1,na,2023-03-02,Public direct PDF. Additional public 3rd, 6th, and 7th March 2023 Tier 2 PDFs also exist.
ssc_cgl_2023_tier2_paper1_na_na_solution_booklet,2023,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,paper1,na,2023-03-02,Public direct PDF. Use same Paper 1 document as question and solution source for this row.
ssc_cgl_2024_tier1_paper1_na_na_question_paper,2024,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-1-pyp.pdf,paper1,na,na,Public multi-year Tier 1 PDF kit. Use for 2024 Tier 1 coverage until a year-specific public PDF is found.
ssc_cgl_multi_multi_na_na_na_frequency_analysis_oliveboard_quant,multi,multi,frequency_analysis,oliveboard,derived_reference,derived,na,unknown,manual,https://www.oliveboard.in/blog/most-repeated-quantitative-aptitude-questions-for-ssc-cgl-tier-2/,na,na,na,Derived-reference only. Repeated Quant questions analysis for atlas seeding; never mix into primary corpus.
ssc_cgl_multi_multi_na_na_na_frequency_analysis_oliveboard_english,multi,multi,frequency_analysis,oliveboard,derived_reference,derived,na,unknown,manual,https://www.oliveboard.in/blog/most-repeated-english-questions-for-ssc-cgl-tier-2/,na,na,na,Derived-reference only. Repeated English questions analysis for atlas seeding; never mix into primary corpus.
