canonical_id,year,tier,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,url,paper,shift,date,notes
ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper,2019,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,paper1,1,2019-06-04,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2019_tier1_paper1_1_2019-06-04_solution_booklet,2019,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,paper1,1,2019-06-04,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2019_tier2_paper1_na_2019-09-11_question_paper,2019,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,paper1,na,2019-09-11,Public Tier 2 English variant PDF for 2019 cycle; gap-fill source.
ssc_cgl_2019_tier2_paper1_na_2019-09-11_solution_booklet,2019,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,paper1,na,2019-09-11,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2020_tier1_paper1_1_2020-03-03_question_paper,2020,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,paper1,1,2020-03-03,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2020_tier1_paper1_1_2020-03-03_solution_booklet,2020,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,paper1,1,2020-03-03,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2020_tier2_paper1_na_2020-11-15_question_paper,2020,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,paper1,na,2020-11-15,Public Tier 2 English variant PDF for 2020 cycle; gap-fill source.
ssc_cgl_2020_tier2_paper1_na_2020-11-15_solution_booklet,2020,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,paper1,na,2020-11-15,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2021_tier1_paper1_1_2021-08-13_question_paper,2021,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,paper1,1,2021-08-13,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2021_tier1_paper1_1_2021-08-13_solution_booklet,2021,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,paper1,1,2021-08-13,Same solved PDF as question row; inline answers satisfy pairing.
