canonical_id,year,tier,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,url,paper,shift,date,notes
ssc_cgl_2019_tier1_paper1_na_na_answer_key,2019,tier1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Final_Answer_key%20cgle19t1.pdf,paper1,na,na,Official SSC final answer key notice for CGLE 2019 Tier I.
ssc_cgl_2019_tier2_paper1_na_na_answer_key,2019,tier2_paper1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/write-up_final_answer_keys_28020221.pdf,paper1,na,na,Official SSC final answer key notice for CGLE 2019 Tier II.
ssc_cgl_2020_tier1_paper1_na_2021-12-09_answer_key,2020,tier1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Final_answer_key_CGL_write_up_Tier-1_2020_09122021.pdf,paper1,na,2021-12-09,Official SSC final answer key notice for CGLE 2020 Tier I.
ssc_cgl_2020_tier2_paper1_na_2022-05-05_answer_key,2020,tier2_paper1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Final_answerkey_CGL20_05052022.pdf,paper1,na,2022-05-05,Official SSC final answer key notice for CGLE 2020 Tier II.
ssc_cgl_2021_tier1_paper1_na_2022-07-14_answer_key,2021,tier1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/CGLE_2021_Tier_1_Final_Answer_key_14072022.pdf,paper1,na,2022-07-14,Official SSC final answer key notice for CGLE 2021 Tier I.
ssc_cgl_2021_tier2_paper1_na_2022-10-26_answer_key,2021,tier2_paper1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Writeup_Finalanswerkey_CGLE2021_26102022.pdf,paper1,na,2022-10-26,Official SSC final answer key notice for CGLE 2021 Tier II.
ssc_cgl_2022_tier1_paper1_na_2023-02-27_answer_key,2022,tier1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/FinalAnswerkey_CGLE2022_tier1_27022023.pdf,paper1,na,2023-02-27,Official SSC final answer key notice for CGLE 2022 Tier I.
ssc_cgl_2022_tier2_paper1_na_2023-05-29_answer_key,2022,tier2_paper1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Write_up_final_answer_key_29052023.pdf,paper1,na,2023-05-29,Official SSC final answer key notice for CGLE 2022 Tier II.
ssc_cgl_2023_tier1_paper1_na_2023-09-29_answer_key,2023,tier1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Write_up_Answer%20Keys_CGLE_2023_T1_29092023.pdf,paper1,na,2023-09-29,Official SSC final answer key notice for CGLE 2023 Tier I.
ssc_cgl_2023_tier2_paper1_na_2023-12-16_answer_key,2023,tier2_paper1,answer_key,ssc,official,official,final,unknown,manual,https://ssc.nic.in/SSCFileServer/PortalManagement/UploadedFiles/Final_Answer_Key_CGLE2023_16122023.pdf,paper1,na,2023-12-16,Official SSC final answer key notice for CGLE 2023 Tier II.
ssc_cgl_2024_tier1_paper1_na_na_answer_key,2024,tier1,answer_key,freejobalert,trusted_secondary,unofficial,final,unknown,manual,https://img.freejobalert.com/uploads/2024/12/Tier-I-Final-Answer-Key-Notice-SSC-CGL-2024.pdf,paper1,na,na,Mirror PDF for SSC CGL 2024 Tier I final answer key notice. Official SSC direct PDF not resolved in this pass.
ssc_cgl_2024_tier2_paper1_na_na_answer_key,2024,tier2_paper1,answer_key,prepp,trusted_secondary,unofficial,final,unknown,manual,https://cdn-images.prepp.in/public/image/SSC_CGL_Tier_2_Answer_Key_2024_Out_9eae33e38cd14ec22028fdb5048a82bd.pdf,paper1,na,na,Mirror PDF for SSC CGL 2024 Tier II final answer key notice. Official SSC direct PDF not resolved in this pass.
